# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
5001000 983.003 -2.88775
5002000 1013.91 -2.88865
5003000 989.31 -2.89076
5004000 978.863 -2.90085
5005000 1028.22 -2.89531
5006000 986.245 -2.89253
5007000 959.589 -2.89243
5008000 990.195 -2.88128
5009000 1026.84 -2.89995
5010000 1027.33 -2.89687
5011000 952.408 -2.91011
5012000 985.907 -2.9035
5013000 999.499 -2.9019
5014000 1007.28 -2.88584
5015000 1006.23 -2.8939
5016000 1022.56 -2.89776
5017000 1005.78 -2.8948
5018000 971.437 -2.9018
5019000 984.075 -2.90136
5020000 1042.84 -2.88197
5021000 964.084 -2.88547
5022000 992.354 -2.88954
5023000 955.816 -2.89055
5024000 968.702 -2.89104
5025000 1017.18 -2.87093
5026000 974.542 -2.89365
5027000 985.422 -2.87577
5028000 955.767 -2.88485
5029000 915.572 -2.89862
5030000 1018.31 -2.87251
5031000 963.89 -2.89513
5032000 986.794 -2.89526
5033000 1021.56 -2.88331
5034000 1029.52 -2.87282
5035000 1043.34 -2.87876
5036000 1000.76 -2.8822
5037000 992.017 -2.89243
5038000 957.149 -2.90068
5039000 1017.55 -2.87777
5040000 1015.49 -2.88356
5041000 971.471 -2.89677
5042000 991.74 -2.89066
5043000 994.568 -2.89504
5044000 949.61 -2.89407
5045000 979.185 -2.90273
5046000 1003.29 -2.89562
5047000 1039.76 -2.88873
5048000 1031.97 -2.89453
5049000 1012.84 -2.88015
5050000 962.471 -2.9001
5051000 1047.11 -2.89646
5052000 944.409 -2.90417
5053000 963.736 -2.89867
5054000 951.448 -2.90664
5055000 969.078 -2.89887
5056000 1038.74 -2.8883
5057000 980.776 -2.90625
5058000 988.611 -2.88708
5059000 990.658 -2.8922
5060000 991.069 -2.88217
5061000 1020.04 -2.88343
5062000 974.7 -2.88051
5063000 1012.15 -2.8885
5064000 991.155 -2.88274
5065000 973.686 -2.88909
5066000 982.469 -2.88085
5067000 991.139 -2.87709
5068000 1009.35 -2.88887
5069000 1009.66 -2.87748
5070000 984.27 -2.89289
5071000 949.681 -2.90401
5072000 968.98 -2.90205
5073000 997.718 -2.89484
5074000 952.579 -2.89018
5075000 999.046 -2.87962
5076000 1039.93 -2.87225
5077000 1032.59 -2.87069
5078000 973.863 -2.88906
5079000 1028.73 -2.88501
5080000 998.607 -2.8845
5081000 993.998 -2.88794
5082000 966.568 -2.89256
5083000 1012.31 -2.87469
5084000 978.347 -2.89958
5085000 1029.74 -2.89366
5086000 1029.22 -2.88512
5087000 967.452 -2.90291
5088000 1014.89 -2.89129
5089000 1018 -2.8972
5090000 945.316 -2.89747
5091000 1028.21 -2.89342
5092000 981.451 -2.90231
5093000 990.234 -2.89482
5094000 958.752 -2.9034
5095000 984.553 -2.89188
5096000 967.326 -2.90715
5097000 1018.76 -2.88723
5098000 967.261 -2.89902
5099000 974.189 -2.91105
5100000 971.766 -2.90333
5101000 993.566 -2.90336
5102000 1005.69 -2.8825
5103000 1001.63 -2.87745
5104000 979.723 -2.89233
5105000 1010.45 -2.87968
5106000 996.834 -2.88514
5107000 1003.47 -2.8872
5108000 935.585 -2.91063
5109000 935.896 -2.90472
5110000 1010.62 -2.89196
5111000 989.858 -2.90047
5112000 984.266 -2.90308
5113000 985.675 -2.89433
5114000 1003.88 -2.89683
5115000 992.742 -2.91222
5116000 948.379 -2.89048
5117000 1003.73 -2.89418
5118000 1009.97 -2.89438
5119000 1008.96 -2.89097
5120000 950.259 -2.91019
5121000 971.591 -2.90362
5122000 969.339 -2.89996
5123000 999.554 -2.89202
5124000 920.578 -2.91122
5125000 1012.6 -2.8979
5126000 1056.88 -2.88882
5127000 1013.25 -2.8876
5128000 938.584 -2.89988
5129000 911.473 -2.90543
5130000 998.806 -2.88843
5131000 1002.81 -2.90287
5132000 942.927 -2.9038
5133000 999.229 -2.90303
5134000 953.657 -2.89792
5135000 956.609 -2.8941
5136000 1005.9 -2.87944
5137000 1026.49 -2.88038
5138000 962.911 -2.89925
5139000 983.549 -2.88415
5140000 1027.96 -2.88854
5141000 982.282 -2.89007
5142000 975.002 -2.91171
5143000 1067.32 -2.87821
5144000 960.665 -2.89453
5145000 982.066 -2.87536
5146000 993.642 -2.88259
5147000 939.014 -2.90532
5148000 975.358 -2.87921
5149000 1012.27 -2.88183
5150000 1014.57 -2.89477
5151000 967.42 -2.9129
5152000 985.381 -2.8957
5153000 1011.52 -2.87553
5154000 1003.91 -2.87281
5155000 977.719 -2.8966
5156000 944.719 -2.88751
5157000 953.409 -2.89443
5158000 984.257 -2.90362
5159000 963.594 -2.90281
5160000 966.067 -2.90449
5161000 989.417 -2.90412
5162000 971.947 -2.89972
5163000 971.894 -2.8965
5164000 1004.58 -2.88901
5165000 950.393 -2.89917
5166000 999.728 -2.89733
5167000 970.2 -2.90564
5168000 980.613 -2.90418
5169000 947.522 -2.90685
5170000 985.948 -2.90475
5171000 1017.36 -2.89167
5172000 1015.36 -2.87735
5173000 976.362 -2.87654
5174000 968.087 -2.8954
5175000 994.034 -2.88988
5176000 993.456 -2.8987
5177000 1000.69 -2.89575
5178000 992.323 -2.89038
5179000 1053.98 -2.86511
5180000 979.928 -2.8906
5181000 990.759 -2.8799
5182000 1025.55 -2.88169
5183000 977.439 -2.90404
5184000 990.569 -2.88326
5185000 1005.22 -2.88735
5186000 1007.25 -2.8948
5187000 989.5 -2.87827
5188000 1002.53 -2.87878
5189000 1031.48 -2.88248
5190000 991.381 -2.88904
5191000 952.623 -2.8925
5192000 984.383 -2.89197
5193000 993.072 -2.89963
5194000 1037.85 -2.88367
5195000 1026.23 -2.87169
5196000 926.389 -2.89611
5197000 1028.13 -2.88799
5198000 996.697 -2.8953
5199000 999.694 -2.8951
5200000 982.814 -2.89757
5201000 933.135 -2.88905
5202000 1038.62 -2.87591
5203000 1003.55 -2.91005
5204000 990.361 -2.91105
5205000 938.677 -2.90514
5206000 1053.07 -2.88412
5207000 915.747 -2.91505
5208000 1017.6 -2.88326
5209000 1016.17 -2.8874
5210000 996.785 -2.90349
5211000 1047.31 -2.8846
5212000 990.003 -2.89409
5213000 1026.58 -2.87765
5214000 941.858 -2.91404
5215000 1035.55 -2.88329
5216000 994.305 -2.89604
5217000 1045.45 -2.89746
5218000 982.568 -2.88354
5219000 1015.47 -2.89221
5220000 958.331 -2.9006
