# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
10501000 1111.9 -2.84471
10502000 1136.4 -2.84016
10503000 1083.87 -2.85528
10504000 1121.09 -2.84572
10505000 1056.94 -2.86654
10506000 1093.56 -2.85771
10507000 1080.27 -2.8409
10508000 1138.82 -2.83421
10509000 1060.14 -2.83483
10510000 1078.51 -2.85916
10511000 1037.38 -2.86501
10512000 1021.04 -2.86663
10513000 1078.62 -2.8703
10514000 1153.93 -2.84751
10515000 1090.1 -2.85935
10516000 1060.8 -2.87163
10517000 1172.56 -2.84675
10518000 1062.89 -2.84671
10519000 1119.32 -2.85141
10520000 1089.46 -2.86811
10521000 1141.11 -2.856
10522000 1067.15 -2.86705
10523000 1016.02 -2.86452
10524000 1071.08 -2.85575
10525000 1086.61 -2.85448
10526000 1078.28 -2.85312
10527000 1125.3 -2.84612
10528000 1119.55 -2.842
10529000 1059.08 -2.87145
10530000 1154.78 -2.82971
10531000 1107.74 -2.85834
10532000 1129.88 -2.84742
10533000 1114.6 -2.84031
10534000 1035.98 -2.85023
10535000 1072.35 -2.86401
10536000 1116.64 -2.83518
10537000 1093.84 -2.85152
10538000 1069.78 -2.84983
10539000 1082.42 -2.83994
10540000 1079.88 -2.85827
10541000 1104.13 -2.85729
10542000 1048.23 -2.87417
10543000 1077.05 -2.85497
10544000 1109.04 -2.84664
10545000 1037.26 -2.86269
10546000 1116.47 -2.83829
10547000 1125.03 -2.84097
10548000 1139.47 -2.85642
10549000 1057.42 -2.85024
10550000 1066.97 -2.86651
10551000 1110.6 -2.84664
10552000 1072.35 -2.8537
10553000 1134.52 -2.84281
10554000 1104.49 -2.85102
10555000 1042.61 -2.8572
10556000 1062.53 -2.85236
10557000 1070.72 -2.84101
10558000 1120.83 -2.84022
10559000 1017.71 -2.86869
10560000 1120.68 -2.85364
10561000 1090.24 -2.84239
10562000 1051.88 -2.86403
10563000 1128.38 -2.84826
10564000 1061.1 -2.84651
10565000 1118.35 -2.85243
10566000 1122.19 -2.84321
10567000 1163.07 -2.84888
10568000 1132.38 -2.85135
10569000 1028.07 -2.8621
10570000 1113.35 -2.85881
10571000 1036.63 -2.8652
10572000 1066.07 -2.85976
10573000 1091.22 -2.84959
10574000 1167.3 -2.84038
10575000 1058.88 -2.86344
10576000 1051.22 -2.85677
10577000 1064.12 -2.85338
10578000 1090.56 -2.86219
10579000 1117.37 -2.83768
10580000 1110.65 -2.83867
