# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
6651000 1022.23 -2.88253
6652000 1051.97 -2.86581
6653000 988.05 -2.89739
6654000 950.851 -2.89401
6655000 1018.06 -2.88888
6656000 946.582 -2.90046
6657000 1033.51 -2.88275
6658000 1025.93 -2.89101
6659000 1059.97 -2.88081
6660000 1000.82 -2.87934
6661000 986.276 -2.89772
6662000 1091.27 -2.87778
6663000 1042.74 -2.87328
6664000 1018.58 -2.88879
6665000 977.16 -2.89005
6666000 963.853 -2.9003
6667000 987.809 -2.88705
6668000 1082.96 -2.85302
6669000 982.764 -2.87554
6670000 1022.01 -2.86545
6671000 996.297 -2.87622
6672000 1024.7 -2.87322
6673000 962.815 -2.89714
6674000 1021.65 -2.87691
6675000 1038.69 -2.88217
6676000 1013.51 -2.89311
6677000 1016.94 -2.88604
6678000 1054.64 -2.88283
6679000 980.299 -2.90163
6680000 973.359 -2.89823
6681000 1001.5 -2.89839
6682000 1016.72 -2.88644
6683000 1079.39 -2.85618
6684000 1023.31 -2.87033
6685000 1023.38 -2.88762
6686000 1071.02 -2.87951
6687000 1004.63 -2.89699
6688000 995.434 -2.90433
6689000 1000.84 -2.88095
6690000 973.824 -2.89002
6691000 1047.16 -2.8833
6692000 970.116 -2.8984
6693000 1041.9 -2.87469
6694000 1038.34 -2.88239
6695000 1009.34 -2.88978
6696000 957.1 -2.89946
6697000 990.189 -2.89415
6698000 1011.21 -2.88462
6699000 1065.71 -2.88172
6700000 992.812 -2.88626
6701000 1011.72 -2.88612
6702000 974.581 -2.89147
6703000 996.226 -2.88336
6704000 1011.87 -2.87325
6705000 1063.28 -2.88155
6706000 967.309 -2.90686
6707000 1021.15 -2.89228
6708000 1037.69 -2.8865
6709000 1059.17 -2.89648
6710000 1053.5 -2.87632
6711000 1009.65 -2.89696
6712000 1050.46 -2.88013
6713000 1016.81 -2.88579
6714000 961.901 -2.89714
6715000 1043.77 -2.88514
6716000 1031.54 -2.87824
6717000 1011.44 -2.87983
6718000 1045.38 -2.87722
6719000 966.645 -2.90443
6720000 967.643 -2.89937
6721000 1022.54 -2.87543
6722000 964.668 -2.90225
6723000 998.376 -2.8763
6724000 1005.46 -2.87633
6725000 975.659 -2.89438
6726000 1061.71 -2.88244
6727000 1026.48 -2.87116
6728000 998.721 -2.88616
6729000 1043.78 -2.87529
6730000 994.065 -2.88894
6731000 1034.8 -2.88985
6732000 1008.96 -2.88704
6733000 1059.35 -2.87117
6734000 1035.56 -2.88197
6735000 933.171 -2.91326
6736000 1027.29 -2.87909
6737000 985.719 -2.8933
6738000 1026.69 -2.87592
6739000 1022.12 -2.89066
6740000 1103.38 -2.86583
6741000 981.622 -2.88318
6742000 1053.99 -2.86075
6743000 991.129 -2.88804
6744000 1024.78 -2.87298
6745000 997.584 -2.8929
6746000 1053.7 -2.8823
6747000 1061.66 -2.87242
6748000 1023.75 -2.88531
6749000 990.71 -2.89239
6750000 1033.22 -2.89039
6751000 1036.3 -2.88118
6752000 996.718 -2.87651
6753000 1004.96 -2.86712
6754000 1061.65 -2.86655
6755000 1046.73 -2.86407
6756000 978.821 -2.88759
6757000 1003.97 -2.87226
6758000 1034.96 -2.86546
6759000 1031.3 -2.87362
6760000 1031.05 -2.88035
6761000 1013.35 -2.88971
6762000 1013.75 -2.87628
6763000 989.511 -2.88519
6764000 1080.74 -2.86137
6765000 1020.98 -2.87369
6766000 1052.83 -2.86356
