# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
9951000 1048.51 -2.87826
9952000 1111.6 -2.85111
9953000 1079.05 -2.85931
9954000 1065.88 -2.87345
9955000 1081.37 -2.86947
9956000 1072.83 -2.86806
9957000 1062.03 -2.87868
9958000 1048.75 -2.8621
9959000 1074.96 -2.85367
9960000 1034.55 -2.87095
9961000 1086.42 -2.85786
9962000 1075.96 -2.86271
9963000 1121.37 -2.86372
9964000 1121.48 -2.84824
9965000 1147.85 -2.85519
9966000 1084.16 -2.83943
9967000 1115.11 -2.84848
9968000 1138.01 -2.84298
9969000 1087.26 -2.86516
9970000 1074.92 -2.85552
9971000 1079.23 -2.85035
9972000 1054.54 -2.86195
9973000 1117.14 -2.85534
9974000 1049.23 -2.86065
9975000 1070.33 -2.85951
9976000 1019.79 -2.87177
9977000 1106.5 -2.8385
9978000 1018.34 -2.85734
9979000 1102.9 -2.85894
9980000 1096.73 -2.86178
9981000 1089.43 -2.86189
9982000 1065.6 -2.86061
9983000 1035.45 -2.87119
9984000 1084.22 -2.85384
9985000 1098.26 -2.86473
9986000 1072.45 -2.86359
9987000 1052.6 -2.87302
9988000 1062.94 -2.86396
9989000 1082.86 -2.86509
9990000 1063.41 -2.85969
9991000 1082.64 -2.86759
9992000 1111.82 -2.86873
9993000 1059.75 -2.87402
9994000 1032.56 -2.86527
9995000 1012.7 -2.86629
9996000 1153.62 -2.84325
9997000 1047.2 -2.86431
9998000 1066.61 -2.86117
9999000 1076.29 -2.8702
10000000 1075.99 -2.86507
10001000 1100.78 -2.85008
10002000 1096.05 -2.86284
10003000 1101 -2.87062
10004000 1073.16 -2.87753
10005000 1099.25 -2.86601
10006000 1092.79 -2.8597
10007000 1042.46 -2.86356
10008000 1095.46 -2.85045
10009000 1089.51 -2.86086
10010000 1059.5 -2.85075
10011000 1100.17 -2.85447
10012000 1041.15 -2.87945
10013000 1137.82 -2.86176
10014000 1086.67 -2.85155
10015000 1068.42 -2.86669
10016000 1098.06 -2.86006
10017000 1110.86 -2.85538
10018000 1106.69 -2.83837
10019000 1081.53 -2.84668
10020000 1111.32 -2.85169
10021000 1103.03 -2.85766
10022000 1034.71 -2.8592
10023000 1072.86 -2.87834
10024000 1150.5 -2.85055
10025000 1095.61 -2.86643
10026000 1085.15 -2.86375
10027000 1076.09 -2.87579
10028000 1083.12 -2.86679
10029000 1077.94 -2.86523
10030000 1165.03 -2.84424
10031000 1051.36 -2.87368
10032000 1066.4 -2.85819
10033000 1100.93 -2.85093
10034000 1166.25 -2.84047
10035000 1157.06 -2.84564
10036000 1048.72 -2.85584
10037000 1124.76 -2.85593
10038000 1125.35 -2.84618
10039000 1094.76 -2.85014
10040000 1076.7 -2.86225
10041000 1056.75 -2.85329
10042000 1103.59 -2.84765
10043000 1092.97 -2.84567
10044000 1051.66 -2.85251
10045000 1088.66 -2.85836
10046000 1094.48 -2.86044
10047000 1039.24 -2.87886
10048000 1094.72 -2.85295
10049000 1103.88 -2.84954
10050000 1099.33 -2.85378
10051000 1118.2 -2.85248
10052000 1049.59 -2.8776
10053000 1090 -2.85173
10054000 1094.26 -2.84067
10055000 1070.97 -2.85954
10056000 1069.84 -2.86819
10057000 1108.62 -2.86126
10058000 1137.68 -2.85799
10059000 1042.28 -2.87575
10060000 1094.59 -2.84682
10061000 1071.28 -2.84739
10062000 1031.79 -2.858
10063000 1093.8 -2.85759
10064000 1087.42 -2.85093
10065000 1110.62 -2.84953
10066000 1056.21 -2.85682
10067000 1080.48 -2.84924
10068000 1144.26 -2.84731
10069000 1064.86 -2.85414
10070000 1051.03 -2.87549
10071000 1063.56 -2.8438
10072000 1067.54 -2.87303
10073000 1071.66 -2.86226
10074000 1113.06 -2.8539
10075000 1088.22 -2.85439
10076000 1082.59 -2.84456
10077000 1000.01 -2.86936
10078000 1128.26 -2.84784
10079000 1074.66 -2.85776
10080000 1107.57 -2.8601
10081000 1090.48 -2.86072
10082000 1084.95 -2.86081
10083000 1054.46 -2.87451
10084000 1093.87 -2.85115
10085000 1110.74 -2.83558
10086000 1082.83 -2.83936
10087000 1029.37 -2.8893
10088000 1059.28 -2.86719
10089000 1104.16 -2.85508
10090000 1093.03 -2.85953
10091000 1093.11 -2.85862
10092000 1086.52 -2.84931
10093000 1076.7 -2.85993
10094000 1122.85 -2.84271
10095000 1081.99 -2.86455
10096000 1068.79 -2.86043
10097000 1068.73 -2.86705
10098000 1073.96 -2.87016
10099000 1130.72 -2.85214
10100000 1106.92 -2.86627
10101000 1061.47 -2.87685
10102000 1059.75 -2.85238
10103000 1048.17 -2.84916
10104000 1063.77 -2.85585
10105000 1062.05 -2.86616
10106000 1083.12 -2.86043
10107000 1115.97 -2.83885
10108000 1015.72 -2.87843
10109000 1091.42 -2.85453
10110000 1055.33 -2.85972
10111000 1056.09 -2.88364
10112000 1083.7 -2.86473
10113000 1104.33 -2.84693
10114000 1059.09 -2.86737
10115000 1078.94 -2.84939
10116000 1107.13 -2.86053
10117000 1075.77 -2.86029
10118000 1094.86 -2.8717
10119000 1080.68 -2.8756
10120000 1107.53 -2.87513
10121000 1078.49 -2.86993
10122000 1117.43 -2.8687
10123000 1067.96 -2.87001
10124000 1019.42 -2.87498
10125000 1042.57 -2.87232
10126000 1106.29 -2.8436
10127000 1077.87 -2.85772
10128000 1066.81 -2.86509
10129000 1052.03 -2.88853
10130000 1080.65 -2.87384
10131000 1080.01 -2.86977
10132000 1081.79 -2.86003
10133000 1058.69 -2.87061
10134000 1108.64 -2.86192
10135000 1064.1 -2.87217
10136000 1086.46 -2.86574
10137000 1073.74 -2.86684
10138000 1044.22 -2.87851
10139000 1186.72 -2.85358
10140000 1068.03 -2.87546
10141000 1020.16 -2.87688
10142000 1079.35 -2.85923
10143000 1073.88 -2.84815
10144000 1081.65 -2.85865
10145000 1052.51 -2.8544
10146000 1090.56 -2.85859
10147000 1086.9 -2.8586
10148000 1078.73 -2.85927
10149000 1045.02 -2.86263
10150000 1069.47 -2.86759
10151000 1062.49 -2.86844
10152000 1084.47 -2.8493
10153000 1087.42 -2.84811
10154000 1052.54 -2.84712
10155000 1113.99 -2.84551
10156000 1103.42 -2.85885
10157000 1118.81 -2.8471
10158000 1079.73 -2.84679
10159000 1136.13 -2.86551
10160000 1120.84 -2.86737
10161000 1011.52 -2.88213
10162000 1070.76 -2.85113
10163000 1104.07 -2.84603
10164000 1120.95 -2.85192
10165000 1078.35 -2.85252
10166000 1025.43 -2.86916
10167000 1030.7 -2.85935
10168000 1046.79 -2.86986
10169000 1083.79 -2.86483
10170000 1131.86 -2.85623
10171000 1101 -2.84641
10172000 1101.61 -2.85642
10173000 1088.15 -2.86628
10174000 1070.77 -2.86449
10175000 1058.53 -2.86429
10176000 1070.33 -2.87088
10177000 1044.63 -2.87969
10178000 1048.5 -2.85331
10179000 1086.62 -2.8554
10180000 1088.56 -2.85708
10181000 1098.29 -2.86061
10182000 1045.86 -2.86916
10183000 1124.26 -2.85467
10184000 1033.83 -2.86494
10185000 1118.34 -2.84552
10186000 1099.48 -2.85396
10187000 1064.81 -2.84885
10188000 1097.1 -2.84745
10189000 1064.94 -2.87147
10190000 1084.79 -2.85324
10191000 1052.36 -2.86214
10192000 1073.58 -2.86078
10193000 1077.73 -2.84314
10194000 1061.27 -2.87132
10195000 1080.27 -2.86044
10196000 1054.3 -2.85907
10197000 1097.51 -2.85207
10198000 1057.95 -2.84665
10199000 1076.9 -2.85101
10200000 1103.48 -2.85399
10201000 1127.4 -2.85526
10202000 1008.32 -2.88127
10203000 1092.98 -2.85182
10204000 1125.07 -2.84567
10205000 1077.61 -2.85433
10206000 1101.17 -2.85876
10207000 1047.93 -2.86944
10208000 1092.48 -2.85685
10209000 1119.77 -2.85775
10210000 1070.31 -2.85003
10211000 1119.42 -2.83229
10212000 1131.39 -2.85016
10213000 1052.1 -2.8554
10214000 1110.49 -2.85947
10215000 1071.64 -2.8583
10216000 1101.52 -2.86842
10217000 1065.07 -2.85461
10218000 1057.08 -2.86177
10219000 1075.21 -2.85919
10220000 1062.05 -2.85624
10221000 1065.86 -2.85875
10222000 1099.16 -2.84758
10223000 1084.66 -2.84581
10224000 1048.9 -2.86482
10225000 1049.15 -2.85928
10226000 1084.07 -2.85487
10227000 1163.24 -2.83329
10228000 1043.26 -2.86067
10229000 1071.11 -2.85022
10230000 1054.61 -2.87166
10231000 1039.58 -2.86153
10232000 1067.76 -2.8618
10233000 1041.51 -2.85644
10234000 1136.32 -2.8265
10235000 1095.33 -2.846
10236000 1084.44 -2.84633
10237000 1114.41 -2.84227
10238000 1069.09 -2.86059
10239000 1075.24 -2.86439
10240000 1055 -2.87336
10241000 1080.34 -2.84761
10242000 1062.96 -2.85783
10243000 1076.45 -2.85169
10244000 1022.06 -2.87505
10245000 1111.2 -2.85255
10246000 1081.54 -2.85012
10247000 1074.83 -2.86325
10248000 1110.36 -2.8677
10249000 1094.05 -2.85468
10250000 1102.52 -2.84613
10251000 1110.54 -2.86669
10252000 1102.88 -2.85923
10253000 1064.64 -2.86576
10254000 1044.99 -2.85577
10255000 1089.31 -2.8561
10256000 1077.59 -2.88016
10257000 1066.24 -2.86004
10258000 1108.85 -2.86113
10259000 1075.45 -2.8569
10260000 1103.18 -2.85511
10261000 1064.86 -2.86677
10262000 1061.33 -2.88277
10263000 1080.5 -2.86366
10264000 1099.63 -2.85209
10265000 1100.17 -2.8596
10266000 1138.6 -2.84068
10267000 1061.33 -2.8548
10268000 1086.65 -2.85836
10269000 1134.28 -2.85235
10270000 1168.96 -2.83289
10271000 1131.94 -2.85474
10272000 1016.96 -2.88471
10273000 1051.77 -2.88231
10274000 1066.41 -2.86945
10275000 989.724 -2.88295
10276000 1105.11 -2.84368
10277000 1009.96 -2.88927
10278000 1066.92 -2.86341
10279000 1069.75 -2.86734
10280000 1111.22 -2.83952
10281000 1059.54 -2.85697
10282000 1036.66 -2.86283
10283000 1009.3 -2.86579
10284000 1056.58 -2.84811
10285000 1067.59 -2.86283
10286000 1071.21 -2.85827
10287000 1093.47 -2.86449
10288000 1056.34 -2.85909
10289000 1067.61 -2.8562
10290000 1029.79 -2.87706
10291000 1064.43 -2.85966
10292000 1046.51 -2.87344
10293000 1079.37 -2.86682
10294000 1105.44 -2.85682
10295000 1070.71 -2.846
10296000 1008.84 -2.86912
10297000 1101.6 -2.84527
10298000 1021.01 -2.87213
10299000 1082.15 -2.85333
10300000 1063.31 -2.87103
10301000 1084.11 -2.86108
10302000 1073.78 -2.85718
10303000 1134.8 -2.84905
10304000 1088.15 -2.85881
10305000 1089.93 -2.84229
10306000 1042.93 -2.87151
10307000 1055.01 -2.86961
10308000 1067.62 -2.87083
10309000 1108.99 -2.87203
10310000 1107.81 -2.87024
10311000 1078.22 -2.84787
10312000 1068.91 -2.85734
10313000 1053.14 -2.85677
10314000 1066.8 -2.85752
10315000 1054.05 -2.85371
10316000 1101.09 -2.86774
10317000 1142.08 -2.84767
10318000 1069.41 -2.86872
10319000 1057.08 -2.88097
10320000 1066.5 -2.85482
10321000 1067.29 -2.88122
10322000 1050.15 -2.88018
10323000 1086.7 -2.86108
10324000 1095.34 -2.8561
10325000 1060 -2.87199
10326000 1120.65 -2.84873
10327000 1114.39 -2.85457
10328000 1136.48 -2.85007
10329000 1026 -2.86228
10330000 1050.97 -2.85936
10331000 1084.66 -2.86411
10332000 1028.27 -2.87893
10333000 1077.95 -2.85965
10334000 1111.22 -2.86438
10335000 1076 -2.84731
10336000 1077.76 -2.83337
10337000 981.708 -2.86909
10338000 1114.3 -2.84834
10339000 1103.2 -2.85982
10340000 1047.63 -2.868
10341000 1076.81 -2.85293
10342000 1147.04 -2.83002
10343000 1092.07 -2.84485
10344000 1060.31 -2.85722
10345000 1107.86 -2.84744
10346000 1057.72 -2.86398
10347000 1006.54 -2.86301
10348000 1058.5 -2.84864
10349000 1111.42 -2.85902
10350000 1113.89 -2.85622
10351000 1056.1 -2.85947
10352000 1077.75 -2.85447
10353000 1073.45 -2.86209
10354000 1073 -2.85206
10355000 1138.32 -2.862
10356000 1084.75 -2.84475
10357000 1123.76 -2.86159
10358000 1095.88 -2.84983
10359000 1120.36 -2.85163
10360000 1123.49 -2.85576
10361000 1043.64 -2.88033
10362000 1089.08 -2.861
10363000 1014.79 -2.88248
10364000 1060.11 -2.86578
10365000 1060.05 -2.87311
10366000 1114.1 -2.85431
10367000 1102.5 -2.85542
10368000 1069.44 -2.86766
10369000 1108.67 -2.86292
10370000 1104.31 -2.85666
10371000 1108.88 -2.85729
10372000 1135.2 -2.85572
10373000 1083.08 -2.85301
10374000 1059.42 -2.88882
10375000 1071.79 -2.87571
10376000 1063.68 -2.8661
10377000 1112.69 -2.85239
10378000 1059.94 -2.86337
10379000 1079.45 -2.86525
10380000 1112.79 -2.86253
10381000 1063.91 -2.86367
10382000 1059.55 -2.87571
10383000 1081.55 -2.86857
10384000 1031.32 -2.86304
10385000 1082.29 -2.86584
10386000 1065 -2.86053
10387000 1066.9 -2.85576
10388000 1101.28 -2.85037
10389000 1047.42 -2.86538
10390000 1104.34 -2.85604
10391000 1108.23 -2.8378
10392000 1059.07 -2.86131
10393000 1096.46 -2.85708
10394000 1045.75 -2.85448
10395000 1031.86 -2.87428
10396000 1080.4 -2.86324
10397000 1055.62 -2.87256
10398000 1071.15 -2.87036
10399000 1049.97 -2.87125
10400000 1064.08 -2.8504
10401000 1058.49 -2.85508
10402000 1069.59 -2.85192
10403000 1084.9 -2.85141
10404000 1092.94 -2.85783
10405000 1069.79 -2.86638
10406000 1101.42 -2.8438
10407000 1048.09 -2.85246
10408000 1046.61 -2.8738
10409000 1055.97 -2.86711
10410000 1040.41 -2.88399
10411000 1083.65 -2.87113
10412000 1063.83 -2.87346
10413000 1100.8 -2.85654
10414000 1034.67 -2.88171
10415000 1081.52 -2.86593
10416000 1091.26 -2.86576
10417000 1078.48 -2.8573
10418000 1003.66 -2.86874
10419000 1082.37 -2.85501
10420000 1088.73 -2.86837
10421000 1124.13 -2.85725
10422000 1095.75 -2.84992
10423000 1091.74 -2.85512
10424000 1061.42 -2.87333
10425000 1056.97 -2.87347
10426000 1108.56 -2.86162
10427000 1118.23 -2.8569
10428000 1048.08 -2.8736
10429000 1101.83 -2.85604
10430000 1029.67 -2.86859
10431000 1041.01 -2.87237
10432000 1081.8 -2.87208
10433000 1079.1 -2.86407
10434000 1082.41 -2.84242
10435000 1087.62 -2.85821
10436000 1089.93 -2.85669
10437000 969.786 -2.87892
10438000 1087.06 -2.85841
10439000 1007.7 -2.86446
10440000 1033.78 -2.86139
10441000 1142.38 -2.8643
10442000 1015.65 -2.88401
10443000 1071.7 -2.87179
