# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
7201000 990.709 -2.89339
7202000 1023.48 -2.8806
7203000 1035.56 -2.87756
7204000 1025.72 -2.8736
7205000 966.45 -2.88425
7206000 1012.26 -2.89162
7207000 1026.03 -2.87539
7208000 1004.38 -2.89292
7209000 1051 -2.88742
7210000 1036.42 -2.87761
7211000 1089.37 -2.86746
7212000 1010.33 -2.88056
7213000 1016.3 -2.88125
7214000 1025.15 -2.8927
7215000 1019.54 -2.88496
7216000 1035.28 -2.89187
7217000 1054.36 -2.89958
7218000 1039.84 -2.88504
7219000 1002.67 -2.90314
7220000 1101.38 -2.87099
7221000 1058.44 -2.88007
7222000 1034.58 -2.87229
7223000 996.055 -2.89232
7224000 1056.24 -2.87927
7225000 1089.98 -2.85428
7226000 1038.42 -2.882
7227000 994.458 -2.88172
7228000 992.958 -2.87714
7229000 1057.59 -2.88263
7230000 1001.76 -2.89169
7231000 1037.45 -2.88684
7232000 1067 -2.8665
7233000 1053.67 -2.87654
7234000 1061.64 -2.86628
7235000 1003.8 -2.89366
7236000 1009.33 -2.89195
7237000 1020.46 -2.88225
7238000 1042.71 -2.87376
7239000 1033.32 -2.88338
7240000 1065.51 -2.86508
7241000 1010.39 -2.87435
7242000 1047.25 -2.87958
7243000 1046.85 -2.88686
7244000 1035.88 -2.85834
7245000 1081.06 -2.84339
7246000 1015.4 -2.87514
7247000 1070.13 -2.86907
7248000 1014.93 -2.87649
7249000 1095.73 -2.8575
7250000 1073.45 -2.86359
7251000 1002.74 -2.87871
7252000 1026.09 -2.88301
7253000 1032.06 -2.8789
7254000 1022.5 -2.87433
7255000 1094.16 -2.88038
7256000 1033.44 -2.88751
7257000 1004.12 -2.88484
7258000 1030.83 -2.8771
7259000 1041.54 -2.90245
7260000 994.613 -2.89193
7261000 1030.52 -2.88407
7262000 1048.74 -2.87203
7263000 1024.7 -2.8741
7264000 1037.77 -2.87346
7265000 1029.85 -2.87804
7266000 1045.7 -2.88254
7267000 1005.94 -2.87495
7268000 1021.54 -2.87669
7269000 1000.89 -2.89627
7270000 1037.88 -2.89448
7271000 1009.68 -2.89929
7272000 1042.34 -2.88959
7273000 1048.6 -2.89364
7274000 998.322 -2.89708
7275000 1090.44 -2.88023
7276000 1068.81 -2.86921
7277000 976.242 -2.87245
7278000 1071.39 -2.87076
7279000 1006.55 -2.87317
7280000 1044.34 -2.85382
7281000 1057.35 -2.86715
7282000 1031.39 -2.86819
7283000 1018.15 -2.87341
7284000 983.702 -2.87881
7285000 1066.66 -2.87119
7286000 1000.04 -2.8746
7287000 1013.96 -2.88657
7288000 974.645 -2.8945
7289000 975.25 -2.88593
7290000 1029.33 -2.87022
7291000 1026.91 -2.88066
7292000 1008.42 -2.877
7293000 1045.62 -2.87072
7294000 1016.23 -2.87376
7295000 1049.84 -2.88019
7296000 985.939 -2.88234
7297000 1016.22 -2.88154
7298000 983.151 -2.89571
7299000 1048.56 -2.88158
7300000 1056.27 -2.87755
7301000 1081.32 -2.85906
7302000 993.893 -2.88687
7303000 1015.23 -2.88027
7304000 1018.7 -2.88887
7305000 1072.24 -2.8665
7306000 1011.9 -2.87867
7307000 1024.19 -2.87501
7308000 996.974 -2.89086
7309000 993.759 -2.88851
7310000 1040.32 -2.86308
7311000 1012.18 -2.88941
7312000 1049.87 -2.88406
7313000 1079.04 -2.87027
7314000 1006.18 -2.89029
7315000 1029.62 -2.87478
7316000 1022.73 -2.88282
7317000 1037.13 -2.87966
7318000 1005.37 -2.88047
7319000 962.21 -2.89211
7320000 1023.43 -2.87552
7321000 1033.89 -2.89615
7322000 1023.3 -2.88894
7323000 1021.85 -2.88084
7324000 1010.3 -2.88039
7325000 1000.66 -2.89305
7326000 987.457 -2.89622
7327000 993.647 -2.90565
7328000 1106.29 -2.86711
7329000 1058.09 -2.87384
7330000 1054.28 -2.87558
7331000 1041.06 -2.88246
7332000 1009.22 -2.86944
7333000 1048.52 -2.8699
7334000 994.89 -2.88484
7335000 984.968 -2.89269
7336000 1049.45 -2.89163
7337000 1026.48 -2.86551
7338000 1011.02 -2.86994
7339000 1025.01 -2.88256
7340000 1015.44 -2.8634
7341000 1053.1 -2.86644
7342000 1052.43 -2.88027
7343000 1085.38 -2.86231
7344000 963.436 -2.89668
7345000 1043.56 -2.88586
7346000 1011.42 -2.86986
7347000 1009.56 -2.87877
7348000 992.426 -2.89744
7349000 1030.07 -2.88131
7350000 1019.57 -2.87163
7351000 999.281 -2.88525
7352000 1037.28 -2.87973
7353000 982.993 -2.89117
7354000 1042.92 -2.87826
7355000 1034.13 -2.88295
7356000 1064.66 -2.86937
7357000 1032.08 -2.88477
7358000 1019.72 -2.89271
7359000 1060.3 -2.89418
7360000 1047.31 -2.87585
7361000 990.884 -2.88578
7362000 1040.47 -2.87375
7363000 1041.15 -2.87663
7364000 1015.38 -2.89467
7365000 1023.47 -2.88353
7366000 1012 -2.8707
7367000 996.853 -2.87831
7368000 1064.65 -2.85474
7369000 1003.01 -2.87322
7370000 1043.14 -2.87809
7371000 1053.54 -2.87742
7372000 1031.33 -2.88141
7373000 1021.32 -2.88519
7374000 1042.59 -2.87618
7375000 1016.96 -2.88713
7376000 1005.98 -2.89151
7377000 1025.65 -2.8714
7378000 1069.17 -2.87343
7379000 1047.3 -2.87909
7380000 1040.24 -2.87603
7381000 1056.5 -2.87111
7382000 1010.61 -2.8769
7383000 980.777 -2.90167
7384000 1027.94 -2.89248
7385000 972.808 -2.8961
7386000 1043.17 -2.87471
7387000 1050.19 -2.87486
7388000 1011.53 -2.86527
7389000 988.238 -2.87869
7390000 1027.32 -2.87701
7391000 1049.34 -2.87188
7392000 1020.81 -2.87993
7393000 1004.87 -2.87256
7394000 1016.23 -2.88214
7395000 991.876 -2.88756
7396000 1053.53 -2.87472
7397000 999.709 -2.8845
7398000 1069.75 -2.86772
7399000 1002.57 -2.88225
7400000 1015.84 -2.87171
7401000 1028.37 -2.8844
7402000 1023.96 -2.86799
7403000 1126.11 -2.85084
7404000 1070.49 -2.86078
7405000 1015.6 -2.88497
7406000 978.297 -2.88712
7407000 1007.61 -2.88522
7408000 1051.16 -2.87093
7409000 1036.52 -2.87177
7410000 1024.75 -2.87484
7411000 1030.31 -2.87504
7412000 1020.83 -2.87376
