# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
8301000 1048.59 -2.88188
8302000 1054.58 -2.87487
8303000 1091.59 -2.85025
8304000 1032.61 -2.88031
8305000 1046.41 -2.8785
8306000 1023.3 -2.88185
8307000 1042.1 -2.86755
8308000 1027.27 -2.86903
8309000 1007.79 -2.87642
8310000 1071.94 -2.85805
8311000 1039.87 -2.86699
8312000 1099.4 -2.85425
8313000 1006.17 -2.87972
8314000 1040.71 -2.88344
8315000 1051.24 -2.87203
8316000 1013.88 -2.86264
8317000 1074.36 -2.86853
8318000 983.362 -2.88053
8319000 1054.42 -2.87525
8320000 1033.22 -2.8789
8321000 1031.22 -2.87626
8322000 1028.38 -2.8901
8323000 1015.93 -2.87244
8324000 1070.75 -2.85916
8325000 1021.25 -2.88342
8326000 1039.02 -2.87357
8327000 1073.84 -2.86859
8328000 1013.46 -2.87952
8329000 1104.67 -2.86603
8330000 1059.01 -2.86747
8331000 973.893 -2.88373
8332000 1027.71 -2.88806
8333000 1045.98 -2.86415
8334000 1071 -2.87614
8335000 1073.28 -2.87012
8336000 1080.16 -2.85291
8337000 1116.47 -2.85183
8338000 1045.54 -2.877
8339000 1017.57 -2.87721
8340000 1065.64 -2.86162
8341000 1015.19 -2.87606
8342000 1072.12 -2.86118
8343000 1042.46 -2.86824
8344000 1150.29 -2.85087
8345000 1003.7 -2.8787
8346000 1080.88 -2.87434
8347000 1036.97 -2.87185
8348000 1062.79 -2.8563
8349000 1036.85 -2.86472
8350000 1032.64 -2.86153
8351000 1041.54 -2.87344
8352000 1014.76 -2.85391
8353000 982.831 -2.88412
8354000 1097.16 -2.86495
8355000 1046.03 -2.88709
8356000 1027.93 -2.86338
8357000 1072.93 -2.87337
8358000 1021.31 -2.88396
8359000 1043.27 -2.85595
8360000 1062.88 -2.86773
8361000 1048.14 -2.86657
8362000 1063.59 -2.85517
8363000 1042.59 -2.85649
8364000 1109.95 -2.83836
8365000 1027.59 -2.85286
8366000 1058.83 -2.84488
8367000 1070.72 -2.86483
8368000 1082.35 -2.86279
8369000 1130.58 -2.84061
8370000 1079.6 -2.85514
8371000 1024.18 -2.8772
8372000 1074.78 -2.86153
8373000 1084.96 -2.86987
8374000 1042.51 -2.86913
8375000 1062.19 -2.86749
8376000 1046.25 -2.84779
8377000 1065.82 -2.85673
8378000 1001.29 -2.87203
8379000 1117.23 -2.84383
8380000 999.609 -2.86776
8381000 1011.27 -2.86547
8382000 1057.35 -2.85667
8383000 1003.32 -2.87876
8384000 1070.89 -2.85741
8385000 1048.72 -2.87228
8386000 985.191 -2.87979
8387000 1049.28 -2.85914
8388000 1058.11 -2.86671
8389000 1091.95 -2.84878
8390000 1045.79 -2.85906
8391000 1032.55 -2.8699
8392000 1077.51 -2.86372
8393000 1066.2 -2.87111
8394000 1038.67 -2.86498
8395000 1116.46 -2.84902
8396000 1070.25 -2.85564
8397000 1068.94 -2.87009
8398000 1057.65 -2.86398
8399000 1042.52 -2.87686
8400000 1001.71 -2.88805
8401000 1078.27 -2.85375
8402000 995.052 -2.88127
8403000 1070.47 -2.86267
8404000 1051.24 -2.86821
8405000 1032.71 -2.86975
8406000 1008.41 -2.87267
8407000 1058.67 -2.8696
8408000 1069.93 -2.87452
8409000 1014.19 -2.86646
8410000 1086.31 -2.84854
8411000 1078.39 -2.86183
8412000 1038.54 -2.86994
8413000 1074.88 -2.86227
8414000 1002.68 -2.886
8415000 1087.61 -2.86378
8416000 1073.73 -2.8639
8417000 1040.6 -2.88153
8418000 1050.4 -2.86538
8419000 1037.99 -2.86093
8420000 1067.97 -2.86426
8421000 1016.32 -2.87149
8422000 1078.23 -2.85739
8423000 999.524 -2.88815
8424000 1021.5 -2.88535
8425000 1013.33 -2.89169
8426000 1024.63 -2.87312
8427000 1032.27 -2.87879
8428000 1035.89 -2.87627
8429000 1065.78 -2.86764
8430000 1075.76 -2.86991
8431000 1081.1 -2.8565
8432000 1049.62 -2.86818
8433000 1056.75 -2.86567
8434000 1045.04 -2.87276
8435000 1042.01 -2.8686
8436000 1068.68 -2.8739
8437000 1055.31 -2.87491
8438000 1030.85 -2.87909
8439000 1003.76 -2.88913
8440000 1035.17 -2.8841
8441000 1007.32 -2.88441
8442000 1018.49 -2.88542
8443000 1039.35 -2.86354
8444000 1050.71 -2.8579
8445000 1115.32 -2.8615
8446000 1060.76 -2.85825
8447000 1071.28 -2.86335
8448000 1030.52 -2.8639
8449000 1082.75 -2.86395
8450000 1064.52 -2.86904
8451000 1052.32 -2.86732
8452000 1124.29 -2.86878
8453000 1022.08 -2.87662
8454000 1054.31 -2.87624
8455000 1091.03 -2.86195
8456000 1109.74 -2.85175
8457000 1070.32 -2.85724
