# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
5551000 1045.71 -2.87703
5552000 998.427 -2.90276
5553000 996.107 -2.88659
5554000 1003.87 -2.89622
5555000 968.74 -2.90825
5556000 1029.57 -2.89063
5557000 1022.47 -2.86877
5558000 1064.22 -2.87014
5559000 994.637 -2.87945
5560000 1053.75 -2.88116
5561000 1002.44 -2.89288
5562000 949.72 -2.89384
5563000 1023.46 -2.887
5564000 995.093 -2.87563
5565000 1002.63 -2.90198
5566000 986.767 -2.89543
5567000 981.955 -2.87516
5568000 990.329 -2.88726
5569000 980.972 -2.88227
5570000 991.787 -2.9013
5571000 977.661 -2.90442
5572000 1019.5 -2.90684
5573000 996.738 -2.89904
5574000 1034.29 -2.87592
5575000 1015.37 -2.89265
5576000 1011.46 -2.87472
5577000 1065.9 -2.87741
5578000 963.696 -2.89852
5579000 995.233 -2.88437
5580000 1010.1 -2.8996
5581000 977.346 -2.90548
5582000 993.041 -2.90619
5583000 982.501 -2.91297
5584000 957.763 -2.89214
5585000 970.54 -2.91798
5586000 952.83 -2.91838
5587000 1029.51 -2.88974
5588000 932.048 -2.91112
5589000 956.263 -2.90166
5590000 1000.42 -2.88386
5591000 1014.36 -2.90003
5592000 982.454 -2.90467
5593000 940.503 -2.90617
5594000 1006.18 -2.89406
5595000 1032.69 -2.89638
5596000 1010.82 -2.88103
5597000 953.911 -2.89607
5598000 1036.07 -2.87149
5599000 987.437 -2.8826
5600000 970.155 -2.88639
5601000 1005.33 -2.88491
5602000 1014.36 -2.87339
5603000 946.625 -2.89174
5604000 982.511 -2.88412
5605000 995.872 -2.9003
5606000 958.937 -2.90086
5607000 1044.68 -2.88207
5608000 984.982 -2.88847
5609000 1012.81 -2.89301
5610000 1099.33 -2.87
5611000 1014.3 -2.88193
5612000 1022.16 -2.88377
5613000 978.537 -2.8898
5614000 972.166 -2.89276
5615000 981.091 -2.88517
5616000 1015.35 -2.91147
5617000 1029.77 -2.89894
5618000 1060.24 -2.90312
5619000 931.991 -2.90448
5620000 999.348 -2.89138
5621000 1001.79 -2.88735
5622000 1005.96 -2.87645
5623000 986.219 -2.88445
5624000 958.834 -2.89344
5625000 981.632 -2.89397
5626000 1001.21 -2.89198
5627000 1011.91 -2.88352
5628000 1013.78 -2.91149
5629000 1025.91 -2.88756
5630000 1004.84 -2.89459
5631000 964.623 -2.8987
5632000 952.334 -2.9051
5633000 998.677 -2.89697
5634000 1029.74 -2.89012
5635000 1011.93 -2.8822
5636000 985.419 -2.88545
5637000 998.656 -2.88421
5638000 1015.19 -2.88866
5639000 997.307 -2.87596
5640000 1003.73 -2.88867
5641000 967.512 -2.89525
5642000 1025.12 -2.89139
5643000 972.49 -2.8927
5644000 1013.79 -2.89121
5645000 1038.96 -2.88591
5646000 1003.68 -2.87462
5647000 1022.93 -2.87657
5648000 1040.17 -2.86786
5649000 1042.45 -2.87574
5650000 1038.42 -2.89173
5651000 1023.76 -2.88288
5652000 980.142 -2.90452
5653000 973.294 -2.89335
5654000 968.14 -2.89082
5655000 988.477 -2.88923
5656000 988.826 -2.8825
5657000 954.741 -2.90083
5658000 1012.15 -2.89843
5659000 1014.38 -2.88206
5660000 1000.73 -2.88741
5661000 971.501 -2.89539
5662000 1009.32 -2.87753
5663000 1028.08 -2.88224
5664000 1007 -2.88109
5665000 971.368 -2.8896
5666000 1011.87 -2.89091
5667000 1017.89 -2.88691
5668000 1054.55 -2.87784
5669000 1006.6 -2.88672
5670000 938.153 -2.91019
5671000 1029.15 -2.88937
5672000 961.17 -2.89546
5673000 965.864 -2.89654
5674000 1018.01 -2.89116
5675000 1001.96 -2.89275
5676000 1003.53 -2.89823
5677000 984.124 -2.89556
5678000 1046.11 -2.87321
5679000 1002.75 -2.88198
5680000 1016.87 -2.88866
5681000 1001.81 -2.89003
5682000 978.415 -2.89609
5683000 1038.8 -2.88344
5684000 984.476 -2.89204
5685000 966.385 -2.90326
5686000 961.098 -2.8981
5687000 960.142 -2.90731
5688000 999.627 -2.89106
5689000 1051.58 -2.88125
5690000 998.579 -2.88552
5691000 972.897 -2.88745
5692000 1004.53 -2.88971
5693000 1034.88 -2.87608
5694000 1026.65 -2.89121
5695000 1001.08 -2.89848
5696000 984.307 -2.89623
5697000 961.405 -2.89817
5698000 978.794 -2.90902
5699000 1071.09 -2.87865
5700000 1020.7 -2.88986
5701000 1008.77 -2.89686
5702000 1012.91 -2.8843
5703000 972.669 -2.89028
5704000 967.84 -2.90184
5705000 1010.55 -2.90076
5706000 1016.46 -2.88347
5707000 952.452 -2.89175
5708000 987.197 -2.89331
5709000 997.03 -2.88623
5710000 1036.32 -2.88739
5711000 987.308 -2.89775
5712000 1039.3 -2.87825
5713000 983.078 -2.8989
5714000 942.684 -2.90304
5715000 1005.01 -2.89448
5716000 964.782 -2.90824
5717000 975.129 -2.90274
5718000 1017.34 -2.8884
5719000 1031.09 -2.88736
5720000 971.807 -2.89089
5721000 1022.2 -2.87534
5722000 973.594 -2.88
5723000 975.708 -2.88544
5724000 946.387 -2.88931
5725000 998.188 -2.88798
5726000 986.669 -2.88416
5727000 943.4 -2.88462
5728000 1033.81 -2.87219
5729000 958.179 -2.90386
5730000 947.646 -2.89909
5731000 992.839 -2.89053
5732000 1041.25 -2.87866
5733000 1047.87 -2.87754
5734000 1035.14 -2.88641
5735000 1000.09 -2.89078
5736000 1001.5 -2.88893
5737000 1003.8 -2.89428
5738000 1064.47 -2.88512
5739000 1004.5 -2.88681
5740000 1032.48 -2.88855
5741000 994.452 -2.8946
5742000 1027.52 -2.89917
5743000 956.918 -2.90434
5744000 967.454 -2.8853
5745000 991.095 -2.89449
5746000 999.451 -2.88632
5747000 971.506 -2.88796
5748000 962.168 -2.88351
5749000 987.849 -2.88633
5750000 959.019 -2.89557
5751000 1016.89 -2.88227
5752000 965.654 -2.89968
5753000 1000.15 -2.88893
5754000 1023.87 -2.86988
5755000 979.261 -2.88271
5756000 972.005 -2.88242
5757000 1012.75 -2.88897
5758000 950.061 -2.89515
5759000 1045.92 -2.88163
5760000 969.661 -2.89422
5761000 1022.17 -2.89825
5762000 978.757 -2.8923
5763000 993.319 -2.89832
5764000 1000.24 -2.90293
5765000 1024.94 -2.88469
5766000 1037.48 -2.88209
5767000 1028.94 -2.88853
5768000 1008.17 -2.8894
5769000 1031.17 -2.89644
5770000 977.959 -2.8949
5771000 992.962 -2.88327
