# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
9401000 1065.03 -2.87583
9402000 1124.82 -2.86943
9403000 1059 -2.8727
9404000 1071.25 -2.86048
9405000 1073.1 -2.86711
9406000 1097.11 -2.84303
9407000 1071.92 -2.87853
9408000 1051.53 -2.86746
9409000 1071.52 -2.86766
9410000 1060.4 -2.87538
9411000 1077.22 -2.86808
9412000 1092.45 -2.86373
9413000 1101.52 -2.86274
9414000 1039.43 -2.85483
9415000 1030.36 -2.8667
9416000 1105.02 -2.85912
9417000 1053 -2.86054
9418000 1078.93 -2.85879
9419000 1141.64 -2.86396
9420000 1029.26 -2.88043
9421000 1053.84 -2.87204
9422000 1054.69 -2.88324
9423000 1089.77 -2.84988
9424000 1048.94 -2.87302
9425000 1046.1 -2.87588
9426000 1068.62 -2.87126
9427000 1101.98 -2.857
9428000 1080.92 -2.86101
9429000 1051.07 -2.87128
9430000 1034.5 -2.86816
9431000 1096.64 -2.86931
9432000 1080.31 -2.8633
9433000 1065.89 -2.865
9434000 1091.11 -2.8419
9435000 1089.38 -2.8598
9436000 1081.75 -2.86152
9437000 1045.17 -2.87175
9438000 1070.21 -2.85034
9439000 1076.37 -2.84302
9440000 1041.66 -2.87684
9441000 1104.52 -2.86795
9442000 1078.34 -2.86395
9443000 1063.94 -2.85895
9444000 1061.68 -2.87412
9445000 1050.45 -2.87274
9446000 1109.89 -2.86658
9447000 1087.29 -2.85533
9448000 1061.19 -2.8559
9449000 1087.29 -2.87216
9450000 1044.62 -2.85775
9451000 1039.03 -2.87718
9452000 1129.99 -2.86564
9453000 1080.87 -2.87386
9454000 1122.92 -2.85764
9455000 1050.15 -2.85221
9456000 1070.85 -2.85625
9457000 1080.88 -2.85174
9458000 1013.11 -2.85499
9459000 1072.27 -2.85067
9460000 1120.58 -2.84726
9461000 1069.57 -2.86917
9462000 1107.36 -2.85902
9463000 1042.03 -2.86737
9464000 1040.75 -2.87679
9465000 1064.31 -2.8615
9466000 1027.64 -2.87612
9467000 1104.8 -2.84747
9468000 1051.46 -2.85194
9469000 1116.96 -2.85429
9470000 1019.65 -2.86394
9471000 1036.95 -2.86512
9472000 1086.29 -2.86099
9473000 1093.25 -2.86557
9474000 1038.15 -2.85413
9475000 1028.65 -2.85598
9476000 1129.46 -2.84877
9477000 1065.69 -2.83882
9478000 1065.19 -2.85231
9479000 1104.56 -2.85315
9480000 1068.49 -2.85695
9481000 1088.16 -2.8449
9482000 1000.2 -2.87413
9483000 1084.62 -2.85626
9484000 1142.29 -2.84364
9485000 1075.74 -2.8577
9486000 1021.74 -2.87563
9487000 1077.41 -2.85734
9488000 1079.48 -2.85155
9489000 1111.12 -2.85874
9490000 1045.09 -2.88223
9491000 1060.28 -2.87359
9492000 1117.99 -2.86214
9493000 1079.5 -2.86589
9494000 1062.47 -2.87126
9495000 1119.09 -2.86042
9496000 1120.8 -2.85927
9497000 1051.75 -2.86224
9498000 1014.76 -2.86044
9499000 1092.29 -2.86468
9500000 1086 -2.86163
9501000 1062.45 -2.86746
9502000 1097.52 -2.85785
9503000 1113.86 -2.8489
9504000 1108.94 -2.85836
9505000 1019.32 -2.87914
9506000 1005.38 -2.87747
9507000 1076.62 -2.85417
9508000 1067.76 -2.86783
9509000 1050.37 -2.85751
9510000 1048.44 -2.87236
9511000 1086.31 -2.86637
9512000 1058.95 -2.85854
9513000 1081.51 -2.85618
9514000 1024.91 -2.88497
9515000 1082.08 -2.86989
9516000 1099.12 -2.85978
9517000 1095.91 -2.8672
9518000 986.42 -2.89155
9519000 1064.45 -2.86362
9520000 1045.25 -2.86452
9521000 1068.87 -2.86714
9522000 1038.38 -2.86195
9523000 1031.67 -2.85948
9524000 1092.01 -2.84311
9525000 1044.87 -2.8718
9526000 1099.23 -2.85988
9527000 1117.6 -2.85176
9528000 1049.03 -2.85277
9529000 1050.11 -2.87158
9530000 1108.91 -2.86496
9531000 984.087 -2.89435
9532000 1050.9 -2.87931
9533000 1019.15 -2.85924
9534000 1091.52 -2.86179
9535000 1124.26 -2.84392
9536000 1084.33 -2.84571
9537000 1097.75 -2.84943
9538000 1098.38 -2.84493
9539000 1066.1 -2.86091
9540000 1081.76 -2.87624
9541000 1045.99 -2.86891
9542000 1057.22 -2.85853
9543000 1104.22 -2.84778
9544000 1072.38 -2.8505
9545000 1052.22 -2.86969
9546000 1092.56 -2.85154
9547000 1038.96 -2.8692
9548000 1062.63 -2.86701
9549000 1086.23 -2.85721
9550000 1041.6 -2.87436
9551000 1062.58 -2.8605
9552000 1052.71 -2.87651
9553000 1063.08 -2.8765
9554000 1055.18 -2.86483
9555000 1084.43 -2.86105
9556000 1057.23 -2.86243
9557000 1064.8 -2.86624
9558000 1056.21 -2.87167
9559000 1084.5 -2.8588
9560000 1099.69 -2.8612
9561000 1064.92 -2.86404
9562000 1067.71 -2.87253
9563000 1031.63 -2.86976
9564000 1144.47 -2.86699
9565000 1043.25 -2.87176
9566000 1041.71 -2.87131
9567000 1065.78 -2.86572
9568000 1073.79 -2.87993
9569000 1084.6 -2.86051
9570000 1062.74 -2.86811
9571000 1113.68 -2.8649
9572000 1039.56 -2.87221
9573000 1104.3 -2.87347
9574000 1076.95 -2.86722
9575000 1054.69 -2.85992
9576000 1029.68 -2.89087
9577000 1117.61 -2.86212
9578000 1085.56 -2.85459
9579000 1075.08 -2.85907
9580000 1060.74 -2.86659
9581000 1086 -2.8677
9582000 1065.4 -2.87395
9583000 1103.76 -2.85695
9584000 1072.68 -2.86468
9585000 1081.55 -2.85594
9586000 1012.17 -2.87569
9587000 1111.1 -2.8563
9588000 1056.29 -2.86126
9589000 1060.96 -2.86992
9590000 1072.64 -2.86763
9591000 1047.8 -2.8629
9592000 1053.68 -2.8604
9593000 1039.71 -2.86456
9594000 1073.9 -2.85648
9595000 974.564 -2.89156
9596000 1095.13 -2.85748
9597000 1044.01 -2.88035
9598000 1044.97 -2.86757
9599000 1090.38 -2.86035
9600000 978.276 -2.87925
9601000 1130.42 -2.85883
9602000 1110.62 -2.85008
9603000 1050.31 -2.87345
9604000 1087.35 -2.86135
9605000 1052.59 -2.88358
9606000 1085.4 -2.87676
