# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
4451000 1016.18 -2.90942
4452000 1016.21 -2.88011
4453000 950.697 -2.88942
4454000 994.367 -2.89096
4455000 938.519 -2.89504
4456000 967.385 -2.89524
4457000 947.732 -2.90046
4458000 964.671 -2.89862
4459000 947.005 -2.90093
4460000 1003.87 -2.88284
4461000 977.419 -2.89067
4462000 992.596 -2.90082
4463000 929.88 -2.89867
4464000 984.908 -2.88536
4465000 1003.98 -2.89674
4466000 952.166 -2.90323
4467000 984.702 -2.89087
4468000 954.39 -2.89896
4469000 964.964 -2.89283
4470000 891.018 -2.92216
4471000 944.302 -2.91445
4472000 962.112 -2.90015
4473000 1045.26 -2.89745
4474000 979.689 -2.90101
4475000 1013.64 -2.88099
4476000 925.919 -2.91377
4477000 914.872 -2.91503
4478000 971.91 -2.90852
4479000 955.272 -2.91027
4480000 903.264 -2.91414
4481000 965.815 -2.90193
4482000 935.063 -2.90812
4483000 931.821 -2.89942
4484000 1009.5 -2.89844
4485000 1019.1 -2.88945
4486000 986.887 -2.89601
4487000 975.956 -2.89744
4488000 1005.23 -2.88332
4489000 967.739 -2.8911
4490000 1018.73 -2.87944
4491000 970.907 -2.88328
4492000 951.661 -2.89374
4493000 972.171 -2.90844
4494000 976.008 -2.89046
4495000 987.764 -2.88978
4496000 941.311 -2.89699
4497000 954.282 -2.89422
4498000 1003.95 -2.88138
4499000 951.145 -2.89665
4500000 964.5 -2.9056
4501000 984.367 -2.89727
4502000 992.657 -2.88711
4503000 999.013 -2.88112
4504000 1024.28 -2.88495
4505000 991.546 -2.88817
4506000 937.676 -2.9007
4507000 929.437 -2.90367
4508000 942.032 -2.90868
4509000 937.984 -2.91233
4510000 959.139 -2.9058
4511000 989.106 -2.90035
4512000 1011.94 -2.90539
4513000 1009.88 -2.90816
4514000 995.606 -2.8975
4515000 947.711 -2.91099
4516000 984.722 -2.90879
4517000 971.877 -2.93079
4518000 959.022 -2.91009
4519000 991.161 -2.90117
4520000 1014.23 -2.89998
4521000 982.588 -2.90722
4522000 980.133 -2.88753
4523000 957.202 -2.8957
4524000 1018.57 -2.88881
4525000 964.97 -2.88407
4526000 909.917 -2.91248
4527000 965.321 -2.90487
4528000 936.398 -2.9176
4529000 964.877 -2.9024
4530000 983.326 -2.89518
4531000 987.283 -2.89742
4532000 981.099 -2.90543
4533000 980.988 -2.90332
4534000 991.22 -2.89142
4535000 1004.27 -2.87967
4536000 1018.83 -2.89095
4537000 964.593 -2.90633
4538000 966.565 -2.8931
4539000 1050.27 -2.89304
4540000 944.739 -2.91243
4541000 927.018 -2.90943
4542000 981.185 -2.90891
4543000 979.14 -2.89734
4544000 963.448 -2.90704
4545000 980.264 -2.903
4546000 965.574 -2.89893
4547000 978.733 -2.88887
4548000 1089.39 -2.8633
4549000 992.689 -2.88705
4550000 971.031 -2.87334
4551000 975.658 -2.90745
4552000 972.654 -2.88747
4553000 957.723 -2.90336
4554000 979.29 -2.90702
4555000 956.418 -2.88988
4556000 1013.04 -2.89888
4557000 969.239 -2.90517
4558000 986.593 -2.90568
4559000 972.889 -2.90138
4560000 913.972 -2.90654
4561000 982.544 -2.90524
4562000 936.879 -2.90275
4563000 931.218 -2.90794
4564000 973.78 -2.90349
4565000 989.37 -2.90787
4566000 985.636 -2.90202
4567000 952.499 -2.92075
4568000 958.857 -2.91618
4569000 1004.91 -2.91861
