# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
1701000 979.915 -2.96342
1702000 931.367 -2.95942
1703000 951.258 -2.96906
1704000 955.069 -2.96017
1705000 927.772 -2.97046
1706000 962.599 -2.96117
1707000 941.944 -2.9632
1708000 937.507 -2.9599
1709000 937.564 -2.96341
1710000 924.948 -2.97416
1711000 955.005 -2.96327
1712000 896.007 -2.96611
1713000 977.875 -2.95083
1714000 954.819 -2.95738
1715000 920.295 -2.96474
1716000 941.23 -2.96709
1717000 910.254 -2.97728
1718000 967.509 -2.96253
1719000 890.678 -2.97605
1720000 896.806 -2.97682
1721000 931.284 -2.96673
1722000 926.651 -2.97371
1723000 912.757 -2.96668
1724000 963.175 -2.95826
1725000 961.068 -2.96837
1726000 975.585 -2.94883
1727000 949.497 -2.96235
1728000 954.928 -2.96582
1729000 945.745 -2.95581
1730000 903.888 -2.97365
1731000 904.061 -2.97114
1732000 928.355 -2.96072
1733000 932.872 -2.9632
1734000 937.046 -2.9583
1735000 928.55 -2.96054
1736000 957.064 -2.96299
1737000 927.858 -2.9654
1738000 947.846 -2.95723
1739000 891.595 -2.97662
1740000 929.791 -2.96336
1741000 948.343 -2.96423
1742000 947.066 -2.95965
1743000 964.95 -2.9646
1744000 935.251 -2.97126
1745000 922.571 -2.96999
1746000 921.623 -2.96119
1747000 991.932 -2.94573
1748000 923.139 -2.97375
1749000 901.629 -2.97502
1750000 882.315 -2.97884
1751000 937.888 -2.96504
1752000 898.655 -2.97692
1753000 955.327 -2.96267
1754000 879.936 -2.97437
1755000 910.833 -2.97375
1756000 951.372 -2.95575
1757000 957.648 -2.96147
1758000 928.469 -2.96806
1759000 940.466 -2.97472
1760000 890.287 -2.97752
1761000 895.378 -2.96878
1762000 951.202 -2.96649
1763000 927.245 -2.96171
1764000 927.938 -2.96684
1765000 981.874 -2.95678
1766000 904.854 -2.97507
1767000 919.688 -2.97225
1768000 903.131 -2.97419
1769000 940.069 -2.96629
1770000 906.242 -2.97184
1771000 921.968 -2.97505
1772000 959.291 -2.95857
1773000 960.26 -2.96057
1774000 929.72 -2.96303
