# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
8851000 1037.71 -2.87308
8852000 1061.93 -2.86583
8853000 1021.75 -2.85234
8854000 1067.24 -2.8561
8855000 1097.42 -2.85338
8856000 1008.21 -2.88176
8857000 1060.2 -2.86676
8858000 1081.35 -2.86896
8859000 1085.67 -2.85506
8860000 981.979 -2.88444
8861000 1039.26 -2.87206
8862000 1041.66 -2.87793
8863000 1077.81 -2.87146
8864000 1058.89 -2.87271
8865000 1050.18 -2.87605
8866000 1050.61 -2.86271
8867000 1066.63 -2.85891
8868000 1054.64 -2.86266
8869000 1120.79 -2.85025
8870000 1029.48 -2.86916
8871000 1016.64 -2.87254
8872000 1031.92 -2.87184
8873000 1026.04 -2.87451
8874000 1071.57 -2.87588
8875000 1066.61 -2.87191
8876000 1013.76 -2.87952
8877000 1136.69 -2.8526
8878000 1024.36 -2.87209
8879000 1092.36 -2.87591
8880000 1038.08 -2.87606
8881000 1037.03 -2.88563
8882000 1001.9 -2.86146
8883000 1057.38 -2.85774
8884000 1126.54 -2.85584
8885000 1080.6 -2.86415
8886000 1048.95 -2.85987
8887000 1089.31 -2.85545
8888000 1032.12 -2.87307
8889000 1047.7 -2.87406
8890000 1074.92 -2.86556
8891000 1081.29 -2.86362
8892000 1080.77 -2.86144
8893000 1028.42 -2.87214
8894000 1040.42 -2.8708
8895000 1050.18 -2.87008
8896000 1086.27 -2.86504
8897000 1020.81 -2.87405
8898000 1032.32 -2.86941
8899000 1045.67 -2.86116
8900000 1069.52 -2.86955
8901000 1081.73 -2.86403
8902000 1041.15 -2.87175
8903000 1132.69 -2.86362
8904000 1023.87 -2.88724
8905000 988.731 -2.89365
8906000 1106.44 -2.8646
8907000 1046.45 -2.8725
8908000 1050.1 -2.8643
8909000 1102.74 -2.85879
8910000 1031.07 -2.88461
8911000 1054.68 -2.86472
8912000 1070.51 -2.85773
8913000 1050.17 -2.87177
8914000 1074.53 -2.85553
8915000 1087.55 -2.86303
8916000 1065.76 -2.8735
8917000 1036.94 -2.87621
8918000 1014.06 -2.88446
8919000 1046.54 -2.87528
8920000 1076.93 -2.85644
8921000 1059.67 -2.86864
8922000 1032.57 -2.87526
8923000 1056.99 -2.85792
8924000 1098.77 -2.86572
8925000 1069.74 -2.87823
8926000 1016.09 -2.87902
8927000 1045.48 -2.86389
8928000 1073.3 -2.85293
8929000 1046.35 -2.86777
8930000 1024.16 -2.87557
8931000 1071.66 -2.84413
8932000 1093.66 -2.8569
8933000 1043.08 -2.86894
8934000 1085.91 -2.85648
8935000 1041.84 -2.87301
