# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
3901000 948.092 -2.8888
3902000 968.023 -2.89853
3903000 973.703 -2.90799
3904000 955.034 -2.90982
3905000 897.225 -2.92427
3906000 997.14 -2.88156
3907000 999.561 -2.9093
3908000 997.438 -2.89497
3909000 963.07 -2.91541
3910000 920.528 -2.90383
3911000 948.972 -2.90641
3912000 969.275 -2.90306
3913000 951.199 -2.89101
3914000 945.163 -2.89985
3915000 981.882 -2.89666
3916000 962.967 -2.89959
3917000 965.741 -2.89565
3918000 982.635 -2.88317
3919000 994.672 -2.88983
3920000 963.061 -2.88843
3921000 956.475 -2.89481
3922000 976.627 -2.89413
3923000 947.476 -2.89485
3924000 980.745 -2.90758
3925000 978.459 -2.89396
3926000 926.713 -2.90524
3927000 938.763 -2.90693
3928000 965.241 -2.88524
3929000 1011.23 -2.88431
3930000 1017.84 -2.87665
3931000 976.916 -2.90473
3932000 927.689 -2.92353
3933000 947.003 -2.91184
3934000 966.339 -2.9105
3935000 964.196 -2.90437
3936000 957.586 -2.89835
3937000 977.862 -2.88797
3938000 960.627 -2.90239
3939000 966.525 -2.88903
3940000 938.598 -2.90653
3941000 962.75 -2.8966
3942000 919.215 -2.91469
3943000 984.157 -2.89472
3944000 974.964 -2.89927
3945000 968.962 -2.88053
3946000 925.287 -2.90282
3947000 1010.9 -2.87884
3948000 951.472 -2.88828
3949000 943.617 -2.89514
3950000 973.391 -2.89652
3951000 1001.7 -2.89226
3952000 978.435 -2.89915
3953000 977.165 -2.89345
3954000 969.52 -2.90403
3955000 955.059 -2.90125
3956000 955.944 -2.90779
3957000 978.234 -2.90605
3958000 1004.38 -2.90931
3959000 997.872 -2.90335
3960000 947.696 -2.9139
3961000 937.44 -2.90389
3962000 957.66 -2.90198
3963000 950.126 -2.91074
3964000 984.518 -2.89579
3965000 960.342 -2.91685
3966000 950.082 -2.90711
3967000 996.546 -2.88882
3968000 906.361 -2.90862
3969000 962.041 -2.90559
3970000 1033.04 -2.88141
3971000 963.645 -2.90731
3972000 954.526 -2.89511
3973000 995.812 -2.89664
3974000 909.18 -2.91399
3975000 922.009 -2.89728
3976000 973.304 -2.8937
3977000 959.501 -2.90716
3978000 952.194 -2.90684
3979000 943.851 -2.9133
3980000 1006.12 -2.88937
3981000 999.027 -2.87952
3982000 957.732 -2.88662
3983000 1002.84 -2.88812
3984000 1013.48 -2.88389
3985000 983.327 -2.90165
3986000 973.019 -2.89326
3987000 962.326 -2.886
3988000 923.884 -2.89593
3989000 1015.72 -2.88676
3990000 982.891 -2.90581
3991000 964.807 -2.89611
3992000 936.293 -2.8942
3993000 1007.05 -2.88569
3994000 983.591 -2.88165
3995000 971.281 -2.89672
3996000 969.372 -2.90374
3997000 945.178 -2.90765
3998000 991.45 -2.89122
3999000 948.663 -2.90152
4000000 1008.85 -2.88547
4001000 1002.91 -2.88777
4002000 978.517 -2.89682
4003000 1004.71 -2.9024
4004000 990.236 -2.89458
4005000 976.144 -2.89684
4006000 954.78 -2.89977
4007000 1004.32 -2.87191
4008000 967.024 -2.90167
4009000 958.62 -2.89245
4010000 1008.16 -2.88915
4011000 979.702 -2.89914
4012000 960.866 -2.90105
4013000 945.296 -2.90702
4014000 996.849 -2.89145
4015000 997.393 -2.88974
4016000 996.084 -2.88336
4017000 927.693 -2.90302
4018000 973.855 -2.88555
4019000 1012.45 -2.89449
4020000 1030.69 -2.87993
4021000 969.051 -2.9043
4022000 957.749 -2.89781
4023000 964.522 -2.90386
4024000 963.256 -2.91294
4025000 951.777 -2.90848
4026000 999.569 -2.89728
4027000 970.1 -2.89463
4028000 1021.31 -2.8895
4029000 967.852 -2.90472
4030000 901.302 -2.91456
4031000 1031.97 -2.88682
4032000 1017.55 -2.88715
4033000 947.372 -2.91518
4034000 891.584 -2.91231
4035000 980.949 -2.89785
4036000 1065.27 -2.884
4037000 925.181 -2.90973
4038000 955.241 -2.895
4039000 947.988 -2.9039
4040000 933.262 -2.9049
4041000 1001.15 -2.89202
4042000 953.522 -2.89644
4043000 993.511 -2.90555
4044000 963.749 -2.89154
4045000 924.556 -2.91727
4046000 1004.48 -2.89452
4047000 921.755 -2.89747
4048000 1035.91 -2.88318
4049000 972.941 -2.8864
4050000 981.784 -2.89492
4051000 969.796 -2.90145
4052000 908.203 -2.92328
4053000 952.481 -2.9059
4054000 1009.59 -2.88952
4055000 963.99 -2.89115
4056000 967.608 -2.89593
4057000 962.778 -2.87617
4058000 1000.83 -2.88291
4059000 969.606 -2.8882
4060000 1000.53 -2.88798
4061000 948.412 -2.88716
4062000 984.472 -2.89694
4063000 914.979 -2.90882
4064000 970.598 -2.89833
4065000 1000.93 -2.89111
4066000 987.968 -2.89225
4067000 959.969 -2.89071
4068000 1030.86 -2.8849
4069000 966.886 -2.89545
4070000 973.84 -2.90079
4071000 1045.12 -2.88088
4072000 964.696 -2.90156
4073000 960.318 -2.8988
4074000 978.212 -2.90877
4075000 937.768 -2.91635
4076000 943.497 -2.90684
4077000 938.398 -2.91328
4078000 960.255 -2.90683
4079000 963.674 -2.9036
4080000 933.916 -2.90622
4081000 961.339 -2.90984
4082000 977.76 -2.90697
4083000 939.345 -2.90584
4084000 927.485 -2.91149
4085000 981.845 -2.89381
4086000 961.458 -2.9056
4087000 931.441 -2.90881
4088000 983.608 -2.90157
4089000 961.379 -2.89026
4090000 1051.06 -2.88427
4091000 1017.15 -2.89869
4092000 986.21 -2.90834
4093000 971.514 -2.8991
4094000 976.966 -2.89914
4095000 1014.09 -2.89496
4096000 985.739 -2.89556
4097000 1004.24 -2.88919
4098000 960.681 -2.89259
4099000 928.276 -2.90212
4100000 979.049 -2.89285
4101000 992.503 -2.90787
4102000 932.496 -2.90868
4103000 958.411 -2.89717
4104000 960.27 -2.89767
4105000 965.84 -2.8942
4106000 970.552 -2.89995
4107000 943.131 -2.91103
4108000 1008.32 -2.89692
4109000 992.855 -2.9081
4110000 1000.54 -2.90424
4111000 951.655 -2.91777
4112000 976.893 -2.89904
4113000 960.475 -2.90476
4114000 1027.8 -2.88456
4115000 968.81 -2.89579
4116000 981.749 -2.89169
4117000 977.834 -2.88665
4118000 970.649 -2.8955
4119000 983.945 -2.88767
