# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
1151000 912.828 -2.9827
1152000 903.734 -2.97859
1153000 933.136 -2.9735
1154000 920.636 -2.9746
1155000 874.629 -2.9802
1156000 909.518 -2.97149
1157000 904.471 -2.97122
1158000 923.311 -2.97154
1159000 946.849 -2.96596
1160000 914.516 -2.97193
1161000 935.224 -2.97339
1162000 892.513 -2.97102
1163000 957.319 -2.97274
1164000 960.971 -2.96861
1165000 952.957 -2.97204
1166000 883.957 -2.97362
1167000 877.719 -2.98321
1168000 885.538 -2.97958
1169000 891.729 -2.97931
1170000 908.435 -2.97172
1171000 888.068 -2.97845
1172000 946.711 -2.96001
1173000 914.613 -2.98182
1174000 978.408 -2.95269
1175000 915.208 -2.97331
1176000 926.507 -2.97666
1177000 951.242 -2.96731
1178000 953.068 -2.96322
1179000 911.032 -2.97984
1180000 897.261 -2.97831
1181000 929.335 -2.96878
1182000 889.96 -2.9822
1183000 939.268 -2.97563
1184000 947.56 -2.96472
1185000 918.796 -2.97343
1186000 959.054 -2.97233
1187000 959.597 -2.96456
1188000 945.537 -2.96078
1189000 923.163 -2.97881
1190000 945.824 -2.9732
1191000 919.557 -2.97528
1192000 920.664 -2.97549
1193000 944.585 -2.96404
1194000 850.676 -2.98381
1195000 954.119 -2.96313
1196000 927.323 -2.97205
1197000 921.054 -2.98359
1198000 923.898 -2.97406
1199000 946.657 -2.95973
1200000 908.646 -2.96832
1201000 905.902 -2.98088
1202000 932.57 -2.96865
1203000 916.45 -2.96864
1204000 935.536 -2.96929
1205000 912.336 -2.96625
1206000 897.971 -2.97692
1207000 903.526 -2.97878
1208000 910.272 -2.97926
1209000 895.644 -2.97524
1210000 882.626 -2.98659
1211000 855.331 -2.9895
1212000 921.001 -2.9728
1213000 899.342 -2.97888
1214000 958.919 -2.96777
1215000 911.298 -2.97718
1216000 942.878 -2.96967
1217000 870.935 -2.98207
1218000 926.975 -2.97447
1219000 868.367 -2.98611
1220000 917.903 -2.97499
1221000 924.312 -2.9767
1222000 909.88 -2.97528
1223000 923.714 -2.97612
1224000 891.175 -2.97835
1225000 969.079 -2.96071
1226000 892.321 -2.98109
1227000 928.703 -2.97419
1228000 924.988 -2.98221
1229000 941.36 -2.97535
1230000 915.676 -2.97849
1231000 918.32 -2.97177
1232000 910.638 -2.97824
1233000 903.214 -2.98029
1234000 897.672 -2.98255
1235000 905.347 -2.96927
1236000 943.05 -2.96814
1237000 880.805 -2.98146
1238000 954.921 -2.96856
1239000 939.02 -2.9651
1240000 962.655 -2.97028
1241000 925.591 -2.97968
1242000 857.938 -2.99195
1243000 929.168 -2.95777
1244000 883.438 -2.9768
1245000 874.382 -2.98076
1246000 932.9 -2.97376
1247000 923.132 -2.97495
1248000 914.196 -2.9745
1249000 917.519 -2.97085
1250000 958.109 -2.96326
1251000 930.706 -2.97129
1252000 967.744 -2.97225
1253000 954.721 -2.96105
1254000 916.154 -2.97
1255000 919.965 -2.97733
1256000 925.068 -2.96666
1257000 915.031 -2.97242
1258000 943.885 -2.95859
1259000 878.991 -2.99068
1260000 962.501 -2.95524
1261000 930.351 -2.94911
1262000 912.185 -2.96792
1263000 888.799 -2.96509
1264000 944.528 -2.95557
1265000 905.631 -2.96618
1266000 936.463 -2.96295
1267000 919.885 -2.96113
1268000 909.048 -2.94765
1269000 884.406 -2.97013
1270000 942.556 -2.94625
1271000 940.403 -2.95816
1272000 876.659 -2.97394
1273000 968.56 -2.95379
1274000 901.312 -2.96645
1275000 908.595 -2.97462
1276000 912.07 -2.97764
1277000 999.024 -2.94861
1278000 900.896 -2.97237
1279000 947.359 -2.9663
1280000 920.735 -2.96044
1281000 902.805 -2.97884
1282000 929.376 -2.96944
1283000 904.37 -2.96298
1284000 914.917 -2.96356
1285000 916.738 -2.95834
1286000 948.801 -2.9619
1287000 943.816 -2.96808
1288000 893.55 -2.97328
1289000 943.947 -2.95673
1290000 941.216 -2.96192
1291000 917.641 -2.96845
1292000 933.068 -2.96843
1293000 920.134 -2.96182
