# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
11051000 1044.49 -2.86781
11052000 1043.31 -2.86981
11053000 1107.75 -2.86246
11054000 1137.34 -2.86098
11055000 1104.13 -2.86026
11056000 1082.08 -2.85928
11057000 1126.35 -2.85397
11058000 1114.88 -2.8387
11059000 1106.55 -2.85864
11060000 1086.68 -2.86001
11061000 1084.92 -2.87316
11062000 1061.2 -2.85667
11063000 1038.7 -2.85634
11064000 1098.34 -2.86453
11065000 1065.33 -2.85717
11066000 1041.7 -2.85572
11067000 1095.55 -2.84518
11068000 1101.77 -2.85076
11069000 1108.92 -2.85009
11070000 1071.86 -2.85844
11071000 1097.7 -2.83807
11072000 1068.98 -2.86221
11073000 1104.39 -2.83931
11074000 1082.32 -2.83961
11075000 1105.49 -2.85229
11076000 1045.17 -2.85285
11077000 1146.55 -2.84702
11078000 1088.6 -2.8552
11079000 1110.93 -2.84593
11080000 1139.6 -2.83496
11081000 1187.06 -2.83171
11082000 1079.61 -2.85281
11083000 1068.4 -2.85741
11084000 1132.05 -2.84968
11085000 1053.47 -2.86418
11086000 1117.07 -2.8431
11087000 1167.44 -2.84811
11088000 1107.11 -2.86815
11089000 1091.84 -2.84344
11090000 1081.36 -2.8598
11091000 1117.9 -2.84106
11092000 1127.44 -2.83737
11093000 1087.45 -2.84432
11094000 1063.31 -2.85961
11095000 1111.12 -2.85715
11096000 1075.31 -2.85356
11097000 1120.49 -2.85153
11098000 1077.72 -2.84541
11099000 1047.59 -2.8625
11100000 1078.44 -2.8524
11101000 1092.5 -2.84593
11102000 1107.9 -2.83083
11103000 1121.61 -2.83664
11104000 1154.01 -2.82812
11105000 1076.5 -2.83886
11106000 1106.52 -2.84809
11107000 1099.13 -2.83581
11108000 1132.31 -2.8499
11109000 1053.2 -2.87117
11110000 1094.7 -2.85662
11111000 1102.67 -2.84977
11112000 1096.19 -2.85086
11113000 1063.41 -2.86178
11114000 1073.25 -2.86602
11115000 1065.43 -2.85936
11116000 1074.31 -2.86811
11117000 1030.3 -2.8703
11118000 1123.14 -2.85872
11119000 1086.48 -2.84901
11120000 1078.32 -2.8671
11121000 1069.77 -2.84747
11122000 1085.59 -2.86369
11123000 1104.13 -2.86554
11124000 1142.27 -2.85007
11125000 1126.14 -2.86523
11126000 1139.35 -2.85938
11127000 1141.27 -2.84349
11128000 1051.48 -2.85671
11129000 1071.59 -2.85072
11130000 1093.16 -2.86239
11131000 1087.88 -2.86023
11132000 1101 -2.8561
11133000 1140.13 -2.84552
11134000 1114.98 -2.84698
11135000 1122.61 -2.85515
11136000 1080.62 -2.85732
11137000 1167.63 -2.82735
11138000 1140.55 -2.84007
11139000 1053.23 -2.8601
11140000 1122.39 -2.85873
11141000 1088.04 -2.85967
11142000 1049.96 -2.8627
11143000 1027.6 -2.87104
11144000 1115.26 -2.84725
11145000 1122.84 -2.852
11146000 1050.72 -2.86493
11147000 1118.11 -2.85131
11148000 1114.47 -2.85754
11149000 1122.88 -2.84239
11150000 1065.99 -2.85203
11151000 1064.19 -2.86034
11152000 1156.23 -2.84714
11153000 1109.18 -2.84647
11154000 1132.16 -2.84132
11155000 1109.83 -2.83894
11156000 1127.96 -2.85228
11157000 1067.1 -2.85125
11158000 1164.3 -2.82776
11159000 1061.12 -2.84676
