# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
6101000 1003.89 -2.88636
6102000 1007.11 -2.87642
6103000 938.569 -2.89192
6104000 1010.18 -2.87081
6105000 1005.41 -2.88325
6106000 1014.41 -2.88279
6107000 1039.84 -2.86188
6108000 1032.67 -2.85639
6109000 1024.46 -2.87202
6110000 1027.74 -2.87434
6111000 1036.64 -2.87889
6112000 1038.16 -2.87594
6113000 984.349 -2.87111
6114000 1019.92 -2.87022
6115000 1028.43 -2.87916
6116000 1016.93 -2.87186
6117000 1018.9 -2.8762
6118000 955.246 -2.88804
6119000 995.578 -2.87592
6120000 973.831 -2.87872
6121000 996.221 -2.90015
6122000 1049.43 -2.86761
6123000 985.827 -2.86096
6124000 1046.79 -2.87208
6125000 966.562 -2.86995
6126000 1023.23 -2.88085
6127000 982.88 -2.88478
6128000 985.935 -2.87869
6129000 1047.43 -2.86911
6130000 982.81 -2.89258
6131000 969.155 -2.89126
6132000 986.454 -2.90705
6133000 1037.7 -2.87814
6134000 1065.15 -2.88098
6135000 1028.89 -2.86097
6136000 1020.8 -2.85875
6137000 1036.09 -2.86179
6138000 993.692 -2.88309
6139000 1019.78 -2.87227
6140000 1003.9 -2.88381
6141000 1051.04 -2.87292
6142000 1017.35 -2.89306
6143000 970.467 -2.89637
6144000 975.496 -2.90081
6145000 932.934 -2.90328
6146000 1019.12 -2.87673
6147000 976.213 -2.88639
6148000 1013.35 -2.87748
6149000 978.854 -2.87567
6150000 1031.01 -2.88613
6151000 1012.87 -2.88156
6152000 981.699 -2.88988
6153000 1032.02 -2.8814
6154000 994.819 -2.86728
6155000 1032.58 -2.87874
6156000 980.575 -2.88355
6157000 951.117 -2.89059
6158000 986.915 -2.8849
6159000 970.089 -2.88504
6160000 1063.31 -2.866
6161000 976.016 -2.8764
6162000 1003.17 -2.88215
6163000 982.777 -2.88553
6164000 1012.26 -2.88739
6165000 974.429 -2.88097
6166000 951.033 -2.87667
6167000 1010.16 -2.86251
6168000 979.74 -2.88862
6169000 974.967 -2.8782
6170000 1000.47 -2.87759
6171000 1019.26 -2.87985
6172000 1030.02 -2.86895
6173000 1026.58 -2.87636
6174000 1044.82 -2.86499
6175000 1028.42 -2.88446
6176000 1030.45 -2.87952
6177000 1060.88 -2.87269
6178000 965.259 -2.88538
6179000 1017.58 -2.88865
6180000 1002.75 -2.88864
6181000 996.164 -2.88974
6182000 1018.28 -2.88832
6183000 1004.29 -2.88921
6184000 975.503 -2.88123
6185000 1000.27 -2.88321
6186000 984.666 -2.88319
6187000 1034.82 -2.88064
6188000 971.272 -2.8669
6189000 990.695 -2.87819
6190000 1036.41 -2.86488
6191000 981.741 -2.88005
6192000 1001.91 -2.88447
6193000 1002.43 -2.87527
6194000 1056.67 -2.87198
6195000 982.449 -2.8688
6196000 1026.95 -2.87517
6197000 1019.37 -2.88022
6198000 952.927 -2.88706
6199000 966.532 -2.89093
6200000 1023.89 -2.87865
6201000 1014.99 -2.87408
6202000 965.55 -2.90754
6203000 1051.82 -2.87036
6204000 1007.37 -2.8838
6205000 1024.59 -2.87683
6206000 982.746 -2.88066
6207000 1033.58 -2.861
6208000 1018.25 -2.87025
6209000 1069.29 -2.85972
6210000 1036.73 -2.87501
6211000 984.358 -2.88437
6212000 1021.54 -2.87418
6213000 957.884 -2.89196
6214000 1022.92 -2.87268
6215000 991.258 -2.88842
6216000 1021.92 -2.8819
6217000 999.584 -2.89167
6218000 1023.74 -2.89802
6219000 1054.15 -2.85785
6220000 1011.42 -2.87497
6221000 972.492 -2.88134
6222000 1004.86 -2.86893
6223000 1030.24 -2.87762
6224000 1014.83 -2.87472
6225000 973.661 -2.88729
6226000 1022.05 -2.87735
6227000 1024.46 -2.88023
6228000 1022.6 -2.87909
6229000 1037.05 -2.87181
6230000 1007.54 -2.85897
6231000 971.731 -2.88322
6232000 985.098 -2.8774
6233000 1025.1 -2.88759
6234000 1000.95 -2.87848
6235000 1075.51 -2.87995
6236000 1047.85 -2.86467
6237000 1019.53 -2.88851
6238000 1025.93 -2.87796
6239000 1016.24 -2.89133
6240000 1013.36 -2.88868
6241000 1029.98 -2.8834
6242000 973.983 -2.90468
6243000 1022.18 -2.88602
6244000 990.095 -2.89589
6245000 976.872 -2.87945
6246000 1039.03 -2.87417
6247000 1000.21 -2.8859
6248000 1033.51 -2.88659
6249000 1041.97 -2.88891
6250000 997.784 -2.88342
6251000 1015.86 -2.89445
6252000 1080.7 -2.88808
6253000 993.192 -2.90589
6254000 1042 -2.89413
6255000 979.832 -2.89288
6256000 1042.83 -2.88444
6257000 1011.63 -2.89153
6258000 1022.05 -2.87552
6259000 1042.25 -2.88144
6260000 1035.13 -2.87669
6261000 996.131 -2.87797
6262000 948.267 -2.89111
6263000 1002.54 -2.89313
6264000 1033.65 -2.88001
6265000 1019.93 -2.87872
6266000 993.357 -2.87817
6267000 1023.88 -2.87661
6268000 991.707 -2.88525
6269000 1071.32 -2.88383
6270000 1062.67 -2.88599
6271000 991.549 -2.89288
6272000 993.405 -2.89841
6273000 1016 -2.89667
6274000 999.511 -2.89617
6275000 990.975 -2.88192
6276000 985.023 -2.88832
6277000 1095.85 -2.87345
6278000 999.826 -2.89424
6279000 1011.19 -2.89378
6280000 997.426 -2.88457
6281000 1038.21 -2.88272
6282000 984.991 -2.88278
6283000 999.401 -2.89378
6284000 1013.45 -2.88962
6285000 1002.86 -2.8799
6286000 1015.36 -2.89274
6287000 1005.43 -2.88627
6288000 989.63 -2.88225
6289000 1016.61 -2.89055
6290000 996.874 -2.88355
6291000 980.472 -2.88905
6292000 979.081 -2.8958
6293000 969.556 -2.88683
6294000 984.243 -2.88927
6295000 964.952 -2.885
6296000 1031.5 -2.8812
6297000 1061.09 -2.88698
6298000 1011.13 -2.88561
6299000 1056.43 -2.86644
6300000 1027.62 -2.89402
6301000 1007.17 -2.88839
6302000 992.995 -2.88868
6303000 1016.57 -2.88228
6304000 1046.07 -2.87364
6305000 1009.23 -2.8908
6306000 986.52 -2.89112
6307000 1032.98 -2.8694
6308000 981.9 -2.89732
6309000 1011.88 -2.87298
6310000 1005.96 -2.89727
6311000 1072.97 -2.87827
6312000 1052.67 -2.88968
6313000 1034.06 -2.8803
6314000 1014.63 -2.87583
6315000 1030.39 -2.87793
6316000 1012.5 -2.87818
6317000 1091.72 -2.87451
6318000 1019.1 -2.86846
6319000 982.048 -2.89335
6320000 950.762 -2.88522
6321000 1009.64 -2.87756
6322000 1014.34 -2.87496
6323000 989.019 -2.87826
6324000 993.968 -2.88176
6325000 1032.54 -2.89499
6326000 1000.67 -2.88658
6327000 1002.06 -2.88732
6328000 985.759 -2.87607
6329000 1044.92 -2.86078
6330000 976.716 -2.87904
6331000 1026.13 -2.87829
6332000 1009.7 -2.88602
