a,E
0.950570342205323,-8.55246539728227
0.94876660341556,-8.55663157402809
0.946969696969697,-8.56058981915099
0.945179584120983,-8.56433890393507
0.943396226415094,-8.5678775973333
0.941619585687382,-8.57120466597066
0.93984962406015,-8.57431887414231
0.938086303939962,-8.57721898381409
0.936329588014981,-8.57990375462277
0.934579439252336,-8.58237194387511
0.932835820895522,-8.58487768009225
0.931098696461825,-8.58690992260995
0.929368029739777,-8.58872184329499
0.927643784786642,-8.5903121901375
0.925925925925926,-8.59167970879852
0.924214417744917,-8.59282314260889
0.922509225092251,-8.59374123257068
0.920810313075506,-8.59443271735659
0.919117647058823,-8.59489633330986
0.91743119266055,-8.59513081444493
0.915750915750916,-8.59513489244616
0.914076782449726,-8.59490729666922
0.912408759124087,-8.59444675413977
0.910746812386157,-8.59438936491175
0.909090909090909,-8.59346142469776
0.907441016333938,-8.5922967090629
0.905797101449275,-8.5908939357166
0.904159132007233,-8.58925182003789
0.902527075812274,-8.58736907507721
0.900900900900901,-8.585244411555
0.899280575539568,-8.58287653786281
0.897666068222621,-8.58026416006324
0.896057347670251,-8.577405981889
0.894454382826476,-8.57430070474316
0.892857142857143,-8.5709470277006
0.89126559714795,-8.56734364750601
0.889679715302491,-8.56348925857469
0.88809946714032,-8.55938255299336
0.886524822695036,-8.55502222051824
0.884955752212389,-8.55040694857778
