a,E
1.57592797583561,-8.33145850509292
1.57490131236859,-8.33807134579063
1.57387731902894,-8.34449337732872
1.57285598368759,-8.35072340593282
1.57183729429402,-8.35676023549933
1.5708212388756,-8.36260266759513
1.56980780553695,-8.36824950145807
1.5687969824593,-8.40886495772643
1.5677887578998,-8.41425285507882
1.56678312019097,-8.41944179972544
1.56578005773998,-8.42443058158526
1.56477955902812,-8.42921798824788
1.56378161261009,-8.43380280497367
1.5627862071135,-8.43818381469352
1.56179333123816,-8.44235979800925
1.56080297375557,-8.44632953319306
1.55981512350829,-8.45009179618814
1.55882976940936,-8.45364536060804
1.55784690044172,-8.4569889977373
1.55686650565764,-8.46012147653097
1.55588857417818,-8.46304156361475
1.55491309519258,-8.46574802328514
1.55394005795775,-8.46823961750925
1.55296945179769,-8.47051510592494
1.55200126610297,-8.47257324584064
1.55103549033018,-8.47441279223549
1.55007211400138,-8.47603249775935
1.5491111267036,-8.47743111273283
1.54815251808832,-8.4786073851471
1.54719627787093,-8.47956006066408
1.5462423958302,-8.48028788261623
1.54529086180785,-8.48078959200694
1.54434166570796,-8.4810639275101
1.54339479749652,-8.48110962547033
1.54245024720093,-8.48092541990288
1.54150800490952,-8.48051004249385
1.54056806077103,-8.47986222259979
1.53963040499419,-8.47898068724805
1.53869502784719,-8.47786416113685
1.53776191965726,-8.47651136663461
1.53683107081015,-8.47492102378094
1.53590247174974,-8.47309185028574
1.53497611297752,-8.47102256152991
1.53405198505217,-8.46871187056482
1.53313007858912,-8.4661584881125
1.53221038426009,-8.46336112256596
1.53129289279264,-8.46031847998847
1.53037759496979,-8.45702926411432
1.52946448162952,-8.45349217634817
1.5285535436644,-8.44970591576578
